Unnamed: 0,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
1435515,1990,4,12,26,3,1990-12-26,DL,19790,DL,,1011,12217,1221701,30255,HSV,"Huntsville, AL",AL,1.0,Alabama,51,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1545,1554.0,9.0,9.0,0.0,0.0,1500-1559,,,,,1735,1749.0,14.0,14.0,0.0,0.0,1700-1759,0.0,,0.0,110.0,115.0,,1.0,603.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402769,2003,2,6,24,2,2003-06-24,OO,20304,OO,N454SW,3966,12003,1200301,31895,GTF,"Great Falls, MT",MT,30.0,Montana,84,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,1824,1814.0,0.0,0.0,0.0,0.0,1800-1859,10.0,1824.0,1930.0,5.0,1945,1935.0,-10.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,81.0,71.0,56.0,1.0,463.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995203,2012,2,4,8,7,2012-04-08,US,20355,US,N953UW,2031,10721,1072102,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,11278,1127802,30852,DCA,"Washington, DC",VA,51.0,Virginia,38,1100,1053.0,-7.0,0.0,0.0,-1.0,1100-1159,13.0,1106.0,1207.0,3.0,1230,1210.0,-20.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,90.0,77.0,61.0,1.0,399.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968749,2006,2,6,30,5,2006-06-30,YV,20378,YV,N504MJ,7423,10397,1039703,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1105,1235.0,90.0,90.0,1.0,6.0,1100-1159,29.0,1304.0,1331.0,0.0,1213,1331.0,78.0,78.0,1.0,5.0,1200-1259,0.0,,0.0,128.0,116.0,87.0,1.0,606.0,3,0.0,0.0,0.0,0.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037752,2010,3,7,2,5,2010-07-02,MQ,20398,MQ,N637MQ,4272,15380,1538001,35380,TVC,"Traverse City, MI",MI,26.0,Michigan,43,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1725,1740.0,15.0,15.0,1.0,1.0,1700-1759,11.0,1751.0,1733.0,5.0,1730,1738.0,8.0,8.0,0.0,0.0,1700-1759,0.0,,0.0,65.0,58.0,42.0,1.0,224.0,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508948,1997,4,12,13,6,1997-12-13,WN,19393,WN,N51,209,11259,1125902,30194,DAL,"Dallas, TX",TX,48.0,Texas,74,16440,1644001,30423,AUS,"Austin, TX",TX,48.0,Texas,74,1055,1055.0,0.0,0.0,0.0,0.0,1000-1059,5.0,1100.0,1132.0,3.0,1140,1135.0,-5.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,45.0,40.0,32.0,1.0,183.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945877,2002,1,3,5,2,2002-03-05,UA,19977,UA,N309UA,835,11433,1143301,31295,DTW,"Detroit, MI",MI,26.0,Michigan,43,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1824,1827.0,3.0,3.0,0.0,0.0,1800-1859,21.0,1848.0,1842.0,9.0,1841,1851.0,10.0,10.0,0.0,0.0,1800-1859,0.0,,0.0,77.0,84.0,54.0,1.0,235.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87135,2017,2,6,8,4,2017-06-08,NK,20416,NK,N503NK,600,11697,1169704,32467,FLL,"Fort Lauderdale, FL",FL,12.0,Florida,33,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,1638,1701.0,23.0,23.0,1.0,1.0,1600-1659,39.0,1740.0,1859.0,7.0,1835,1906.0,31.0,31.0,1.0,2.0,1800-1859,0.0,,0.0,117.0,125.0,79.0,1.0,581.0,3,0.0,0.0,31.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405983,2014,3,7,10,4,2014-07-10,DL,19790,DL,N351NW,2426,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37.0,North Carolina,36,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,745,740.0,-5.0,0.0,0.0,-1.0,0700-0759,12.0,752.0,954.0,6.0,1014,1000.0,-14.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,269.0,260.0,242.0,1.0,1823.0,8,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108613,2010,3,8,3,2,2010-08-03,OO,20304,OO,N910EV,4443,11193,1119301,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,52,13342,1334202,33342,MKE,"Milwaukee, WI",WI,55.0,Wisconsin,45,2030,2020.0,-10.0,0.0,0.0,-1.0,2000-2059,9.0,2029.0,2024.0,5.0,2045,2029.0,-16.0,0.0,0.0,-2.0,2000-2059,0.0,,0.0,75.0,69.0,55.0,1.0,318.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780139,2005,4,10,25,2,2005-10-25,AA,19805,AA,N478AA,1380,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,10397,1039703,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,912,1056.0,104.0,104.0,1.0,6.0,0900-0959,20.0,1116.0,1354.0,6.0,1217,1400.0,103.0,103.0,1.0,6.0,1200-1259,0.0,,0.0,125.0,124.0,98.0,1.0,732.0,3,2.0,0.0,0.0,0.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183250,2011,4,11,13,7,2011-11-13,AS,19930,AS,N625AS,195,10299,1029904,30299,ANC,"Anchorage, AK",AK,2.0,Alaska,1,11630,1163002,31517,FAI,"Fairbanks, AK",AK,2.0,Alaska,1,2355,2340.0,-15.0,0.0,0.0,-1.0,2300-2359,8.0,2348.0,28.0,3.0,53,31.0,-22.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,58.0,51.0,40.0,1.0,261.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
